WPID;WPTitle;Source;WPSize;TargetSize;IntersectionSize;UniversSize;pValue;pAdjusted;Intersection
WP:WP5053;Development of ureteric collection system;hsapiens.WP.name.gmt;47;43;3;7411;0.0024700346484300313;0.032110450429590404;RARA RARB RARG
PMC5748921-PMC6115658;CAKUT causal genes;hsapiens.GO-BP.name.gmt;42;61;1;18089;0.13240796828802326;0.8606517938721512;NRIP1
GO:0072001;renal system development;hsapiens.GO-BP.name.gmt;315;61;2;18089;0.2873469709012944;0.9338776554292068;RARA RARB
GO:0001822;kidney development;hsapiens.GO-BP.name.gmt;306;61;2;18089;0.276074615819097;0.9338776554292068;RARA RARB
GO:0060993;kidney morphogenesis;hsapiens.GO-BP.name.gmt;96;61;0;18089;1.0;1.0;
REAC:R-HSA-2022377;Metabolism of Angiotensinogen to Angiotensins;hsapiens.REAC.name.gmt;18;39;0;10531;1.0;1.0;
REAC:R-HSA-8853659;RET signaling;hsapiens.REAC.name.gmt;38;39;0;10531;1.0;1.0;
REAC:R-HSA-195721;Signaling by WNT;hsapiens.REAC.name.gmt;328;39;0;10531;1.0;1.0;
REAC:R-HSA-157118;Signaling by NOTCH;hsapiens.REAC.name.gmt;233;39;0;10531;1.0;1.0;
REAC:R-HSA-5358351;Signaling by Hedgehog;hsapiens.REAC.name.gmt;149;39;0;10531;1.0;1.0;
WP:WP4823;Genes controlling nephrogenesis;hsapiens.WP.name.gmt;43;43;0;7411;1.0;1.0;
WP:WP5052;Nephrogenesis;hsapiens.WP.name.gmt;17;43;0;7411;1.0;1.0;
WP:WP4830;GDNF/RET signalling axis;hsapiens.WP.name.gmt;23;43;0;7411;1.0;1.0;
