WPID;WPTitle;WPSize;TargetSize;IntersectionSize;UniversSize;pValue;pAdjusted;Intersection
WP5087;Malignant pleural mesothelioma;436;56;6;12387;0.01349630523754661;0.6883115671148771;AGER AREG BAG2 BTC HBEGF TERT
WP4156;Biosynthesis and regeneration of tetrahydrobiopterin and catabolism of phenylalanine;2;56;1;12387;0.009021662399947077;0.6883115671148771;GCH1
WP2059;Alzheimer's disease and miRNA effects;275;56;3;12387;0.12771149656736902;1.0;AGER APAF1 PPID
WP5101;Congenital generalized lipodystrophy (CGL);18;56;0;12387;1.0;1.0;
WP5074;Kallmann syndrome;23;56;0;12387;1.0;1.0;
WP5053;Development of ureteric collection system;60;56;0;12387;1.0;1.0;
WP5052;Nephrogenesis;18;56;0;12387;1.0;1.0;
WP5037;Riboflavin and CoQ disorders;14;56;0;12387;1.0;1.0;
WP5031;Biotin metabolism, including IMDs;9;56;0;12387;1.0;1.0;
WP5030;Ethylmalonic encephalopathy;3;56;0;12387;1.0;1.0;
WP4971;Phosphoinositides metabolism;49;56;1;12387;0.19945064986366612;1.0;PLCD1
WP4950;16p11.2 distal deletion syndrome;33;56;0;12387;1.0;1.0;
WP4949;16p11.2 proximal deletion syndrome;81;56;0;12387;1.0;1.0;
WP4947;Nitric oxide metabolism in cystic fibrosis;13;56;0;12387;1.0;1.0;
WP4942;15q13.3 copy number variation syndrome;32;56;0;12387;1.0;1.0;
WP4940;15q11.2 copy number variation syndrome;10;56;0;12387;1.0;1.0;
WP4932;7q11.23 copy number variation syndrome;113;56;0;12387;1.0;1.0;
WP4906;3q29 copy number variation syndrome;75;56;0;12387;1.0;1.0;
WP4905;1q21.1 copy number variation syndrome;36;56;0;12387;1.0;1.0;
WP4879;Overlap between signal transduction pathways contributing to LMNA laminopathies;57;56;0;12387;1.0;1.0;
WP4871;Kisspeptin/kisspeptin receptor system in the ovary;39;56;0;12387;1.0;1.0;
WP4844;Influence of laminopathies on Wnt signaling;37;56;0;12387;1.0;1.0;
WP4842;Mammalian disorder of sexual development;25;56;0;12387;1.0;1.0;
WP5102;Familial partial lipodystrophy (FPLD);30;56;0;12387;1.0;1.0;
WP5103;Progeria-associated lipodystrophy;22;56;0;12387;1.0;1.0;
WP5104;Acquired partial lipodystrophy / Barraquer-Simons syndrome;10;56;0;12387;1.0;1.0;
WP5108;Familial  hyperlipidemia type 1;18;56;0;12387;1.0;1.0;
WP5222;2q13 copy number variation syndrome;68;56;0;12387;1.0;1.0;
WP5221;2q11.2 copy number variation syndrome;65;56;0;12387;1.0;1.0;
WP5202;Alstrom syndrome;33;56;0;12387;1.0;1.0;
WP5200;Dravet syndrome;18;56;0;12387;1.0;1.0;
WP5195;Disorders in ketolysis;5;56;0;12387;1.0;1.0;
WP5193;Cholesterol synthesis disorders;18;56;0;12387;1.0;1.0;
WP5190;Creatine pathway;5;56;0;12387;1.0;1.0;
WP5189;Copper metabolism;4;56;0;12387;1.0;1.0;
WP5178;Disorders of fructose metabolism;14;56;0;12387;1.0;1.0;
WP5176;Disorders of bile acid synthesis and biliary transport;20;56;0;12387;1.0;1.0;
WP4830;GDNF/RET signaling axis;23;56;0;12387;1.0;1.0;
WP5175;Disorders in ketone body synthesis;5;56;0;12387;1.0;1.0;
WP5171;Leukotriene metabolic pathway;13;56;0;12387;1.0;1.0;
WP5169;Hemesynthesis defects and porphyrias;9;56;0;12387;1.0;1.0;
WP5166;Glyoxylate metabolism;11;56;0;12387;1.0;1.0;
WP5124;Alzheimer's disease;262;56;3;12387;0.1148645437497945;1.0;AGER APAF1 PPID
WP5120;Inclusion body myositis;11;56;0;12387;1.0;1.0;
WP5114;Nucleotide excision repair in xeroderma pigmentosum ;74;56;0;12387;1.0;1.0;
WP5112;Familial hyperlipidemia type 5;15;56;0;12387;1.0;1.0;
WP5111;Familial hyperlipidemia type 4;22;56;0;12387;1.0;1.0;
WP5110;Familial hyperlipidemia type 3;13;56;0;12387;1.0;1.0;
WP5109;Familial hyperlipidemia type 2;16;56;0;12387;1.0;1.0;
WP5173;Disorders of galactose metabolism ;13;56;0;12387;1.0;1.0;
